City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Mehriz,IR,81.1,scattered clouds,31.59,54.43,Mehrgard dwelling/سرای مهرگرد
485,Talnakh,RU,78.4,overcast clouds,69.49,88.4,Talnakh Hotel
488,Dingle,PH,87.57,scattered clouds,11.0,122.67,SEGAYA PROPERTY
489,Cam Ranh,VN,89.56,clear sky,11.92,109.16,OYO 598 Peony Hotel
491,Mezotur,HU,77.13,overcast clouds,47.0,20.63,Nemzeti Szálloda
492,Tura,IN,79.88,moderate rain,25.52,90.22,Hotel RIKMAN Continental
493,Remedios,CU,76.12,broken clouds,22.49,-79.55,Hostal Yunai
495,Kirakira,SB,84.69,scattered clouds,-10.45,161.92,SanBiz Lodge
501,Keti Bandar,PK,82.9,overcast clouds,24.14,67.45,Haji laloo memon house
504,Saint Anthony,US,86.25,clear sky,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
505,Tucumcari,US,78.64,clear sky,35.17,-103.73,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
518,Bandarbeyla,SO,76.46,scattered clouds,9.49,50.81,JABIR HOTEL
520,Sibolga,ID,83.16,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
522,Alyangula,AU,78.67,broken clouds,-13.85,136.42,Groote Eylandt Lodge
526,Itarema,BR,78.4,few clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
532,Bodden Town,KY,82.4,few clouds,19.28,-81.25,Will T Place
533,Hami,CN,89.04,clear sky,42.8,93.45,Laoyutang Resort
534,Aksu,CN,89.89,clear sky,41.12,80.26,Pudong Holiday Hotel
535,Morro Bay,US,79.68,light rain,35.37,-120.85,Inn at Morro Bay
536,Saint Paul,US,86.88,clear sky,44.94,-93.09,"InterContinental Saint Paul Riverfront, an IHG Hotel"
538,Nichinan,JP,85.15,clear sky,31.6,131.37,Guest House Aki
540,Beirut,LB,81.37,clear sky,33.89,35.49,"Crowne Plaza Beirut, an IHG Hotel"
548,Enid,US,82.02,overcast clouds,36.4,-97.88,Ramada by Wyndham Enid
549,Praya,CV,75.74,few clouds,14.92,-23.51,LT Aparthotel
551,Matara,LK,80.71,overcast clouds,5.95,80.54,Amaloh Boutique Resort
554,Tiarei,PF,82.42,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
555,Vitim,RU,84.92,clear sky,59.45,112.56,Uyut
556,Brownfield,US,84.38,clear sky,33.18,-102.27,"Holiday Inn Express & Suites Brownfield, an IHG Hotel"
558,Half Moon Bay,US,86.31,broken clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
562,Gouyave,GD,79.57,scattered clouds,12.16,-61.73,Rumboat Retreat
565,Meulaboh,ID,81.25,broken clouds,4.14,96.13,Kost Pria
570,Pekan,MY,80.71,broken clouds,3.48,103.4,Pekan Budget Hotel
574,Fare,PF,78.44,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
575,Brooks,CA,82.38,clear sky,50.58,-111.89,Heritage Inn Hotel & Convention Centre
581,Pailon,BO,77.9,clear sky,-17.65,-62.75,Alojamiento pailon
582,Tarakan,ID,80.1,few clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
583,Kamaishi,JP,77.95,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
588,Det Udom,TH,87.04,broken clouds,14.91,105.08,Chatsuda Resort
592,Kloulklubed,PW,86.5,overcast clouds,7.04,134.26,Storyboard Beach Resort
594,Chiang Kham,TH,82.99,overcast clouds,19.52,100.3,Rico Resort
600,Sarangani,PH,84.15,overcast clouds,5.4,125.46,Ballistic Islet
601,Castanos,MX,83.34,clear sky,26.78,-101.42,Bomberos voluntarios castaños coahuila
603,Sri Aman,MY,80.65,few clouds,1.24,111.46,Seri Simanggang Hotel
606,Acapulco,MX,84.02,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
607,Biak,ID,80.58,broken clouds,-0.91,122.88,Penginapan Kim
608,Ushtobe,KZ,78.57,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
