City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Ilulissat,GL,69.22,-51.10,53.62,62,20,4.61,light intensity drizzle
160,Vokhma,RU,58.93,46.76,51.64,91,64,6.98,broken clouds
161,Hasaki,JP,35.73,140.83,79.09,73,33,18.5,scattered clouds
162,Giyani,ZA,-23.30,30.72,48.29,74,0,2.73,clear sky
163,Northam,GB,51.03,-4.22,64.02,95,100,10.87,light rain
164,Luyang,CN,27.62,110.10,87.62,61,0,3.27,clear sky
165,Sitka,US,57.05,-135.33,62.49,72,40,5.75,scattered clouds
166,Palmer,US,42.16,-72.33,75.13,77,1,0,clear sky
167,Norman Wells,CA,65.28,-126.83,64.44,59,90,9.22,overcast clouds
168,Tiksi,RU,71.69,128.87,38.68,87,76,10.67,broken clouds
169,Souillac,MU,-20.52,57.52,68.38,88,75,12.66,light rain
170,Ha Tinh,VN,18.33,105.90,87.39,65,100,10.09,overcast clouds
171,Walvis Bay,NA,-22.96,14.51,70.75,23,0,17.27,clear sky
172,Suntar,RU,62.14,117.63,84.54,43,44,2.8,scattered clouds
173,Kuzovatovo,RU,53.55,47.69,60.91,64,93,6.29,overcast clouds
174,Sven,RU,53.18,34.55,60.91,83,100,1.72,overcast clouds
175,East London,ZA,-33.02,27.91,63.64,27,5,12.26,clear sky
176,Tilichiki,RU,60.47,166.10,54.12,98,100,2.33,light rain
177,Makakilo City,US,21.35,-158.09,86.32,55,20,11.5,few clouds
178,Hofn,IS,64.25,-15.21,51.89,87,100,6.08,overcast clouds
179,Veseloyarsk,RU,51.28,81.11,64.02,66,0,11.56,clear sky
180,Chivolo,CO,10.03,-74.62,74.01,93,79,8.05,broken clouds
181,Tevaitoa,PF,-16.78,-151.50,78.91,74,29,9.84,light rain
182,Hongjiang,CN,27.11,110.00,88.84,60,6,3.27,clear sky
183,Sambava,MG,-14.27,50.17,67.89,84,66,14.36,broken clouds
184,Kaitangata,NZ,-46.28,169.85,52.93,52,7,8.7,clear sky
185,Moindou,NC,-21.69,165.68,75.15,49,4,8.61,clear sky
186,Port Blair,IN,11.67,92.75,83.75,81,85,20.89,overcast clouds
187,Buraydah,SA,26.33,43.98,93.65,18,100,11.39,overcast clouds
188,Iquique,CL,-20.22,-70.14,59.04,78,22,4.81,few clouds
189,Keningau,MY,5.34,116.16,84.65,59,86,2.64,overcast clouds
190,Sechura,PE,-5.56,-80.82,68.86,78,68,16.49,broken clouds
191,Esperance,AU,-33.87,121.90,57.04,70,90,37.02,light rain
192,Marawi,PH,8.00,124.29,84.65,59,85,8.05,overcast clouds
193,Lenger,KZ,42.18,69.88,78.24,27,0,10.6,clear sky
194,Ola,RU,59.58,151.28,62.11,73,50,1.59,scattered clouds
195,Panguipulli,CL,-39.63,-72.33,34.48,96,31,2.46,scattered clouds
196,Labuhan,ID,-6.88,112.21,81.36,62,9,3.71,clear sky
197,Santa Cruz,BO,-17.80,-63.17,76.46,73,0,10.36,clear sky
198,Harper,LR,4.38,-7.72,75.45,81,100,9.98,overcast clouds
199,Saquena,PE,-4.67,-73.52,73.85,94,81,2.68,broken clouds
200,Cherskiy,RU,68.75,161.30,53.44,48,11,21.88,few clouds
201,Havoysund,NO,71.00,24.66,50.88,78,49,6.46,scattered clouds
202,Langham,CA,52.37,-106.97,80.02,39,18,6.44,few clouds
203,Torbay,CA,47.67,-52.73,59.68,89,20,9.22,few clouds
204,Bethel,US,41.37,-73.41,76.77,82,1,5.75,haze
205,Sokoni,TZ,-6.43,39.55,75.06,74,74,17.38,broken clouds
206,Verkh-Usugli,RU,52.70,115.17,65.64,65,91,5.86,overcast clouds
207,Dera Bugti,PK,29.03,69.15,87.28,60,37,6.33,scattered clouds
208,Lasa,IT,46.62,10.70,61.68,96,100,2.59,light rain
209,Yamada,JP,39.47,141.95,70.23,96,100,10.58,overcast clouds
210,Port Augusta,AU,-32.50,137.77,64.54,29,1,32.86,clear sky
